Version	1.08	gmtime	1441194972
index	timestamp	eyeroihoriz	eyeroivert	eyeroizoomx	eyeroizoomy	blendmode	blendfactor	onlinecalib	eye_valid	eye_x	eye_y	eye_w	eye_h	eye_a	field_x	field_y	displaymode	displayeyedetection	event
10743	17290106	0	0	0	0	1	128	0	1	490	342	50	55	2766	0	0	0	1	
10744	17290139	0	0	0	0	1	128	0	1	490	342	50	55	2775	0	0	0	1	
10745	17290173	0	0	0	0	1	128	0	1	490	344	51	55	2780	0	0	0	1	
10746	17290206	0	0	0	0	1	128	0	1	490	342	51	55	2788	0	0	0	1	
10747	17290239	0	0	0	0	1	128	0	1	490	342	51	55	2785	0	0	0	1	
10748	17290273	0	0	0	0	1	128	0	1	490	342	51	55	2790	0	0	0	1	
10749	17290306	0	0	0	0	1	128	0	1	490	342	50	55	2783	0	0	0	1	
10750	17290339	0	0	0	0	1	128	0	1	490	342	51	55	2788	0	0	0	1	
10751	17290373	0	0	0	0	1	128	0	1	490	342	50	55	2788	0	0	0	1	
10752	17290406	0	0	0	0	1	128	0	1	490	344	50	55	2782	0	0	0	1	
10753	17290439	0	0	0	0	1	128	0	1	490	344	50	55	2773	0	0	0	1	
10754	17290473	0	0	0	0	1	128	0	1	490	344	50	55	2756	0	0	0	1	
10755	17290506	0	0	0	0	1	128	0	1	492	342	50	55	2756	0	0	0	1	
10756	17290540	0	0	0	0	1	128	0	1	496	344	49	55	2688	0	0	0	1	
10757	17290573	0	0	0	0	1	128	0	1	496	344	49	55	2687	0	0	0	1	
10758	17290606	0	0	0	0	1	128	0	1	496	344	49	55	2674	0	0	0	1	
10759	17290640	0	0	0	0	1	128	0	1	494	344	49	55	2667	0	0	0	1	
10760	17290673	0	0	0	0	1	128	0	1	494	344	49	55	2668	0	0	0	1	
10761	17290706	0	0	0	0	1	128	0	1	496	344	49	55	2667	0	0	0	1	
10762	17290740	0	0	0	0	1	128	0	1	496	344	49	55	2668	0	0	0	1	
10763	17290773	0	0	0	0	1	128	0	1	496	344	49	55	2666	0	0	0	1	
10764	17290807	0	0	0	0	1	128	0	1	494	344	49	55	2658	0	0	0	1	
10765	17290840	0	0	0	0	1	128	0	1	496	344	49	55	2658	0	0	0	1	
10766	17290873	0	0	0	0	1	128	0	1	496	344	49	54	2644	0	0	0	1	
10767	17290907	0	0	0	0	1	128	0	1	496	344	49	54	2649	0	0	0	1	
10768	17290940	0	0	0	0	1	128	0	1	496	344	49	54	2649	0	0	0	1	
10769	17290973	0	0	0	0	1	128	0	1	496	344	49	55	2659	0	0	0	1	
10770	17291007	0	0	0	0	1	128	0	1	496	344	49	54	2644	0	0	0	1	
10771	17291040	0	0	0	0	1	128	0	1	496	344	49	54	2652	0	0	0	1	
10772	17291073	0	0	0	0	1	128	0	1	496	344	49	55	2660	0	0	0	1	
10773	17291107	0	0	0	0	1	128	0	1	494	344	49	55	2659	0	0	0	1	
10774	17291140	0	0	0	0	1	128	0	1	496	344	49	55	2664	0	0	0	1	
10775	17291174	0	0	0	0	1	128	0	1	496	344	49	55	2669	0	0	0	1	
10776	17291207	0	0	0	0	1	128	0	1	496	344	49	55	2663	0	0	0	1	
10777	17291240	0	0	0	0	1	128	0	1	496	344	49	55	2661	0	0	0	1	
10778	17291274	0	0	0	0	1	128	0	1	496	344	49	55	2674	0	0	0	1	
10779	17291307	0	0	0	0	1	128	0	1	496	344	49	55	2675	0	0	0	1	
10780	17291340	0	0	0	0	1	128	0	1	496	344	49	55	2676	0	0	0	1	
10781	17291374	0	0	0	0	1	128	0	1	496	344	49	55	2686	0	0	0	1	
10782	17291407	0	0	0	0	1	128	0	1	494	344	49	55	2697	0	0	0	1	
10783	17291441	0	0	0	0	1	128	0	1	494	344	49	55	2692	0	0	0	1	
10784	17291474	0	0	0	0	1	128	0	1	496	344	49	55	2706	0	0	0	1	
10785	17291507	0	0	0	0	1	128	0	1	494	344	49	55	2709	0	0	0	1	
10786	17291541	0	0	0	0	1	128	0	1	494	344	49	55	2721	0	0	0	1	
10787	17291574	0	0	0	0	1	128	0	1	494	344	50	55	2740	0	0	0	1	
10788	17291607	0	0	0	0	1	128	0	1	494	344	50	55	2751	0	0	0	1	
10789	17291641	0	0	0	0	1	128	0	1	494	344	50	56	2756	0	0	0	1	
10790	17291674	0	0	0	0	1	128	0	1	494	344	50	55	2765	0	0	0	1	
10791	17291707	0	0	0	0	1	128	0	1	494	344	50	56	2778	0	0	0	1	
10792	17291741	0	0	0	0	1	128	0	1	494	344	50	56	2781	0	0	0	1	
10793	17291774	0	0	0	0	1	128	0	1	494	344	50	56	2792	0	0	0	1	
10794	17291808	0	0	0	0	1	128	0	1	494	344	50	56	2795	0	0	0	1	
10795	17291841	0	0	0	0	1	128	0	1	494	344	50	56	2805	0	0	0	1	
10796	17291874	0	0	0	0	1	128	0	1	494	344	50	56	2810	0	0	0	1	
10797	17291908	0	0	0	0	1	128	0	1	494	344	50	56	2814	0	0	0	1	
10798	17291941	0	0	0	0	1	128	0	1	494	344	50	56	2819	0	0	0	1	
10799	17291974	0	0	0	0	1	128	0	1	494	344	50	56	2831	0	0	0	1	
10800	17292008	0	0	0	0	1	128	0	1	494	344	50	56	2835	0	0	0	1	
10801	17292041	0	0	0	0	1	128	0	1	494	344	50	56	2833	0	0	0	1	
10802	17292075	0	0	0	0	1	128	0	1	494	346	50	56	2822	0	0	0	1	
