Version	1.08	gmtime	1441281311
index	timestamp	eyeroihoriz	eyeroivert	eyeroizoomx	eyeroizoomy	blendmode	blendfactor	onlinecalib	eye_valid	eye_x	eye_y	eye_w	eye_h	eye_a	field_x	field_y	displaymode	displayeyedetection	event
5551	103449787	0	0	0	0	1	128	0	0	0	0	0	0	0	0	0	0	1	
5552	103449820	0	0	0	0	1	128	0	0	0	0	0	0	0	0	0	0	1	
5553	103449854	0	0	0	0	1	128	0	1	502	324	43	46	1982	0	0	0	1	
5554	103449887	0	0	0	0	1	128	0	1	502	326	45	51	2278	0	0	0	1	
5555	103449920	0	0	0	0	1	128	0	1	504	328	45	54	2445	0	0	0	1	
5556	103449954	0	0	0	0	1	128	0	1	504	326	46	52	2410	0	0	0	1	
5557	103449987	0	0	0	0	1	128	0	1	504	324	46	51	2342	0	0	0	1	
5558	103450021	0	0	0	0	1	128	0	1	504	324	46	52	2375	0	0	0	1	
5559	103450054	0	0	0	0	1	128	0	1	504	324	46	52	2402	0	0	0	1	
5560	103450087	0	0	0	0	1	128	0	1	504	324	46	53	2424	0	0	0	1	
5561	103450121	0	0	0	0	1	128	0	1	500	326	47	52	2444	0	0	0	1	
5562	103450154	0	0	0	0	1	128	0	1	498	326	47	53	2497	0	0	0	1	
5563	103450187	0	0	0	0	1	128	0	1	498	326	47	54	2537	0	0	0	1	
5564	103450221	0	0	0	0	1	128	0	1	498	326	47	54	2552	0	0	0	1	
5565	103450254	0	0	0	0	1	128	0	1	498	326	48	54	2573	0	0	0	1	
5566	103450287	0	0	0	0	1	128	0	1	498	326	48	54	2582	0	0	0	1	
5567	103450321	0	0	0	0	1	128	0	1	500	342	46	53	2472	0	0	0	1	
5568	103450354	0	0	0	0	1	128	0	1	502	346	46	54	2504	0	0	0	1	
5569	103450388	0	0	0	0	1	128	0	1	502	346	46	54	2484	0	0	0	1	
5570	103450421	0	0	0	0	1	128	0	1	502	346	46	54	2496	0	0	0	1	
5571	103450454	0	0	0	0	1	128	0	1	502	346	46	54	2494	0	0	0	1	
5572	103450488	0	0	0	0	1	128	0	1	502	346	46	54	2480	0	0	0	1	
5573	103450521	0	0	0	0	1	128	0	1	502	346	46	54	2463	0	0	0	1	
5574	103450554	0	0	0	0	1	128	0	1	502	348	45	54	2438	0	0	0	1	
5575	103450588	0	0	0	0	1	128	0	1	504	334	46	54	2478	0	0	0	1	
5576	103450621	0	0	0	0	1	128	0	1	502	326	46	53	2467	0	0	0	1	
5577	103450655	0	0	0	0	1	128	0	1	502	326	46	53	2444	0	0	0	1	
5578	103450688	0	0	0	0	1	128	0	1	502	326	46	53	2430	0	0	0	1	
5579	103450721	0	0	0	0	1	128	0	1	502	326	46	53	2424	0	0	0	1	
5580	103450755	0	0	0	0	1	128	0	1	502	326	46	53	2422	0	0	0	1	
5581	103450788	0	0	0	0	1	128	0	1	502	328	46	53	2412	0	0	0	1	
5582	103450821	0	0	0	0	1	128	0	1	502	328	46	53	2409	0	0	0	1	
5583	103450855	0	0	0	0	1	128	0	1	506	324	46	53	2409	0	0	0	1	
5584	103450888	0	0	0	0	1	128	0	1	506	322	46	52	2388	0	0	0	1	
5585	103450921	0	0	0	0	1	128	0	1	506	322	46	52	2400	0	0	0	1	
5586	103450955	0	0	0	0	1	128	0	1	506	322	46	53	2419	0	0	0	1	
5587	103450988	0	0	0	0	1	128	0	1	506	322	46	53	2429	0	0	0	1	
5588	103451022	0	0	0	0	1	128	0	1	506	322	46	53	2440	0	0	0	1	
5589	103451055	0	0	0	0	1	128	0	1	502	324	47	53	2486	0	0	0	1	
5590	103451088	0	0	0	0	1	128	0	1	500	324	47	53	2498	0	0	0	1	
5591	103451122	0	0	0	0	1	128	0	1	498	326	47	53	2500	0	0	0	1	
5592	103451155	0	0	0	0	1	128	0	1	488	324	49	58	2807	0	0	0	1	
5593	103451188	0	0	0	0	1	128	0	0	0	0	0	0	0	0	0	0	1	
5594	103451222	0	0	0	0	1	128	0	0	0	0	0	0	0	0	0	0	1	
5595	103451255	0	0	0	0	1	128	0	0	0	0	0	0	0	0	0	0	1	
5596	103451289	0	0	0	0	1	128	0	0	0	0	0	0	0	0	0	0	1	
5597	103451322	0	0	0	0	1	128	0	0	0	0	0	0	0	0	0	0	1	
5598	103451355	0	0	0	0	1	128	0	1	498	332	47	54	2573	0	0	0	1	
5599	103451389	0	0	0	0	1	128	0	1	500	326	47	51	2391	0	0	0	1	
5600	103451422	0	0	0	0	1	128	0	1	500	330	48	54	2579	0	0	0	1	
5601	103451455	0	0	0	0	1	128	0	1	500	328	47	53	2488	0	0	0	1	
