Version	1.08	gmtime	1440675019
index	timestamp	eyeroihoriz	eyeroivert	eyeroizoomx	eyeroizoomy	blendmode	blendfactor	onlinecalib	eye_valid	eye_x	eye_y	eye_w	eye_h	eye_a	field_x	field_y	displaymode	displayeyedetection	event
9083	10597545	0	0	0	0	1	128	0	1	394	252	58	59	3448	0	0	0	1	
9084	10597578	0	0	0	0	1	128	0	1	394	252	58	59	3403	0	0	0	1	
9085	10597612	0	0	0	0	1	128	0	1	394	252	57	58	3348	0	0	0	1	
9086	10597645	0	0	0	0	1	128	0	1	394	252	57	58	3286	0	0	0	1	
9087	10597678	0	0	0	0	1	128	0	1	394	252	56	58	3261	0	0	0	1	
9088	10597712	0	0	0	0	1	128	0	1	394	252	56	58	3246	0	0	0	1	
9089	10597745	0	0	0	0	1	128	0	1	394	252	56	58	3242	0	0	0	1	
9090	10597779	0	0	0	0	1	128	0	1	394	252	56	58	3244	0	0	0	1	
9091	10597812	0	0	0	0	1	128	0	1	394	252	56	58	3244	0	0	0	1	
9092	10597845	0	0	0	0	1	128	0	1	394	252	56	58	3265	0	0	0	1	
9093	10597879	0	0	0	0	1	128	0	1	394	252	56	58	3271	0	0	0	1	
9094	10597912	0	0	0	0	1	128	0	1	394	252	57	58	3288	0	0	0	1	
9095	10597945	0	0	0	0	1	128	0	1	394	252	57	58	3301	0	0	0	1	
9096	10597979	0	0	0	0	1	128	0	1	394	252	57	58	3307	0	0	0	1	
9097	10598012	0	0	0	0	1	128	0	1	394	250	57	58	3310	0	0	0	1	
9098	10598045	0	0	0	0	1	128	0	1	394	250	57	59	3331	0	0	0	1	
9099	10598079	0	0	0	0	1	128	0	1	394	250	57	59	3346	0	0	0	1	
9100	10598112	0	0	0	0	1	128	0	1	392	250	57	59	3349	0	0	0	1	
9101	10598146	0	0	0	0	1	128	0	1	392	250	57	59	3369	0	0	0	1	
9102	10598179	0	0	0	0	1	128	0	1	394	250	57	59	3381	0	0	0	1	
9103	10598212	0	0	0	0	1	128	0	1	400	246	57	59	3377	0	0	0	1	
9104	10598246	0	0	0	0	1	128	0	1	400	246	57	59	3382	0	0	0	1	
9105	10598279	0	0	0	0	1	128	0	1	398	246	57	59	3392	0	0	0	1	
9106	10598312	0	0	0	0	1	128	0	1	398	246	57	59	3395	0	0	0	1	
